scene_id	onset	block_distance	depth	is_peak	w	tau_depth	min_spacing
16	8.56	0.7489814162254333		False	1	0.5	30.0
16	14.72	0.8685590028762817	0.6529994010925293	False	1	0.5	30.0
16	27.26	0.33513718843460083		False	1	0.5	30.0
16	29.34	0.748165488243103	0.9251980781555176	False	1	0.5	30.0
16	32.38	0.23599570989608765		False	1	0.5	30.0
16	37.26	0.9444023370742798	1.3010849952697754	True	1	0.5	30.0
16	41.34	0.35172396898269653		False	1	0.5	30.0
16	50.38	0.8088873624801636		False	1	0.5	30.0
16	61.48	0.8217933177947998	0.47006934881210327	False	1	0.5	30.0
17	74.28	0.8555231094360352	0.18158406019210815	False	1	0.5	30.0
17	78.68	0.673939049243927		False	1	0.5	30.0
17	81.4	0.8426738381385803	0.3067183494567871	False	1	0.5	30.0
17	85.68	0.7046902775764465		False	1	0.5	30.0
17	88.72	0.9153347015380859	0.28978729248046875	False	1	0.5	30.0
17	89.68	0.8361918330192566		False	1	0.5	30.0
17	93.12	0.8583441376686096	0.5231115221977234	False	1	0.5	30.0
17	96.0	0.8113501071929932		False	1	0.5	30.0
17	97.36	0.6513080596923828		False	1	0.5	30.0
17	100.96	0.35738492012023926		False	1	0.5	30.0
17	102.8	1.0092169046401978	1.0490952730178833	True	1	0.5	30.0
17	107.84	0.8824648261070251		False	1	0.5	30.0
17	110.92	0.6635307669639587		False	1	0.5	30.0
17	111.52	0.611953616142273		False	1	0.5	30.0
17	113.76	0.8018951416015625	0.7415583729743958	False	1	0.5	30.0
17	115.98	0.2502782940864563		False	1	0.5	30.0
18	122.78	0.7337419986724854	0.7337419986724854	False	1	0.5	30.0
18	126.54	0.578284740447998		False	1	0.5	30.0
18	131.58	0.0		False	1	0.5	30.0
18	133.58	0.9194431304931641	1.1320191621780396	False	1	0.5	30.0
18	136.86	0.8468873500823975		False	1	0.5	30.0
18	140.5	0.7068670988082886		False	1	0.5	30.0
18	141.66	0.8223242163658142	0.8360693454742432	False	1	0.5	30.0
18	143.41	0.10171198844909668		False	1	0.5	30.0
18	145.49	0.8017001152038574		False	1	0.5	30.0
18	146.45	0.8213005065917969	1.3104064464569092	True	1	0.5	30.0
18	151.81	0.2439042329788208		False	1	0.5	30.0
18	152.85	0.2304825782775879		False	1	0.5	30.0
18	155.65	0.6846660375595093	0.8426070809364319	False	1	0.5	30.0
18	159.33	0.2962424159049988		False	1	0.5	30.0
18	161.17	0.7159171104431152		False	1	0.5	30.0
18	166.05	0.9165945649147034	0.8647260665893555	False	1	0.5	30.0
