scene_id	start	end	character	degree	betweenness	eigenvector
20	1.44	1.76	Joey	0.0	0.0	0.0
21	10.48	72.23	Monica	0.5	0.0	0.7071067811865475
21	10.48	72.23	Rachel	0.5	0.0	0.7071067811865475
22	73.829	101.86	Monica	0.3313260850706995	0.0	0.576051857076707
22	73.829	101.86	Rachel	0.31325362172165516	0.0	0.5533281372396281
22	73.829	101.86	Ross	0.3554202932076454	0.0	0.6016579015498761
23	103.94	201.63	Chandler	0.1602026031632967	0.0	0.3479159746506914
23	103.94	201.63	Gary	0.2774026242087711	0.5	0.5798963157347028
23	103.94	201.63	Joey	0.048904421168509495	0.0	0.10523843582799675
23	103.94	201.63	Phoebe	0.2268125414838678	0.0	0.520128448742248
23	103.94	201.63	Ross	0.28667780997555486	0.8333333333333333	0.5109461870037164
24	206.69	211.25	Joey	0.0	0.0	0.0
25	221.09	359.82	Chandler	0.5	0.0	0.7071067811865476
25	221.09	359.82	Joey	0.5	0.0	0.7071067811865476
26	366.29	380.69	Chandler	0.5	0.0	0.7071067811865475
26	366.29	380.69	Joey	0.5	0.0	0.7071067811865475
27	397.32	637.28	Rachel	0.5	0.0	0.7071067811865476
27	397.32	637.28	Ross	0.5	0.0	0.7071067811865476
28	638.24	652.88	Rachel	0.5	0.0	0.7071067811865476
28	638.24	652.88	Ross	0.5	0.0	0.7071067811865476
31	660.08	716.37	Chandler	0.21008500811761974	0.0	0.45031471614779617
31	660.08	716.37	Joey	0.1218500105881997	0.0	0.26459814720950364
31	660.08	716.37	Monica	0.1512599957647201	0.0	0.3721012627323723
31	660.08	716.37	Phoebe	0.19958000141175997	0.3333333333333333	0.45725945113835026
31	660.08	716.37	Ross	0.3172249841177004	0.5	0.6161646870209754
