scene_id	onset	block_distance	depth	is_peak	w	tau_depth	min_spacing
54	14.32	0.5821107029914856	0.20278894901275635	False	1	0.5	30.0
54	17.52	0.4140205383300781		False	1	0.5	30.0
54	20.68	0.37932175397872925		False	1	0.5	30.0
54	23.28	0.8635439276695251	1.347766101360321	True	1	0.5	30.0
54	23.92	0.7923685312271118		False	1	0.5	30.0
54	26.96	0.7923685312271118	0.7923685312271118	False	1	0.5	30.0
54	28.08	0.5094077587127686		False	1	0.5	30.0
54	28.32	0.0		False	1	0.5	30.0
54	28.64	0.9285531044006348	0.9718462228775024	False	1	0.5	30.0
54	42.13	0.8852599859237671		False	1	0.5	30.0
56	46.73	0.8731995224952698	0.1614837646484375	False	1	0.5	30.0
56	48.73	0.8307896256446838		False	1	0.5	30.0
56	50.57	0.7117157578468323		False	1	0.5	30.0
56	51.85	0.7953502535820007		False	1	0.5	30.0
56	56.33	0.9747543334960938	0.4173932671546936	False	1	0.5	30.0
56	57.05	0.8203996419906616		False	1	0.5	30.0
56	58.33	0.8338449001312256	0.47422587871551514	False	1	0.5	30.0
56	60.09	0.7620669603347778		False	1	0.5	30.0
56	63.37	0.3730642795562744		False	1	0.5	30.0
57	80.33	0.678646445274353		False	1	0.5	30.0
57	86.29	0.7515836954116821	0.6239802837371826	False	1	0.5	30.0
57	87.37	0.3931496739387512		False	1	0.5	30.0
57	88.81	0.2005406618118286		False	1	0.5	30.0
57	90.67	0.5360320210456848		False	1	0.5	30.0
57	92.39	0.8600897789001465	1.0462352633476257	True	1	0.5	30.0
57	93.79	0.4734036326408386		False	1	0.5	30.0
57	94.47	0.6632245779037476		False	1	0.5	30.0
57	101.03	0.6744093894958496		False	1	0.5	30.0
57	103.03	0.8703818917274475	0.8243817090988159	False	1	0.5	30.0
57	105.91	0.4429784417152405		False	1	0.5	30.0
57	107.83	0.4485090970993042		False	1	0.5	30.0
57	111.99	0.6214809417724609	0.5016977787017822	False	1	0.5	30.0
57	115.03	0.29828566312789917		False	1	0.5	30.0
57	116.67	0.33265477418899536	0.03436911106109619	False	1	0.5	30.0
58	124.99	0.18642520904541016		False	1	0.5	30.0
58	126.35	0.8895966410636902	1.1383305191993713	True	1	0.5	30.0
58	127.63	0.8117316961288452		False	1	0.5	30.0
58	130.91	0.7257808446884155		False	1	0.5	30.0
58	132.03	0.53007972240448		False	1	0.5	30.0
58	134.43	0.4544375538825989		False	1	0.5	30.0
58	136.51	0.7623931169509888		False	1	0.5	30.0
58	138.59	0.7895413637161255	0.41293424367904663	False	1	0.5	30.0
58	139.87	0.7117109298706055		False	1	0.5	30.0
58	141.15	0.9714915156364441	0.9010747671127319	False	1	0.5	30.0
58	144.97	0.3301973342895508		False	1	0.5	30.0
58	148.17	0.845731258392334	0.940352201461792	False	1	0.5	30.0
58	150.81	0.4209129810333252		False	1	0.5	30.0
58	152.17	0.7569047212600708	0.38648563623428345	False	1	0.5	30.0
58	155.81	0.706410825252533		False	1	0.5	30.0
59	163.93	0.7891600131988525		False	1	0.5	30.0
59	165.29	0.7973666191101074		False	1	0.5	30.0
59	166.85	0.8449686169624329	0.05580860376358032	False	1	0.5	30.0
61	177.79	0.36076927185058594		False	1	0.5	30.0
61	178.87	0.7888959050178528	0.8938642740249634	True	1	0.5	30.0
61	179.99	0.32315826416015625		False	1	0.5	30.0
62	196.07	0.916873574256897	0.7966821193695068	False	1	0.5	30.0
62	201.5	0.4878285527229309		False	1	0.5	30.0
62	202.3	0.12019145488739014		False	1	0.5	30.0
62	203.26	0.6135566234588623		False	1	0.5	30.0
62	207.1	0.8491909503936768	0.8809979557991028	True	1	0.5	30.0
62	208.3	0.7458579540252686		False	1	0.5	30.0
62	209.58	0.6971924901008606		False	1	0.5	30.0
62	210.94	0.7902945280075073	0.5692602396011353	False	1	0.5	30.0
62	214.06	0.3141363263130188		False	1	0.5	30.0
62	214.7	0.8591839075088501	0.5912713408470154	False	1	0.5	30.0
62	217.18	0.812960147857666		False	1	0.5	30.0
62	217.74	0.9306100010871887	0.36707448959350586	False	1	0.5	30.0
62	220.38	0.8450015187263489		False	1	0.5	30.0
62	223.02	0.6811853647232056		False	1	0.5	30.0
62	223.74	0.9826945066452026	0.5329594612121582	False	1	0.5	30.0
62	226.5	0.7512441873550415		False	1	0.5	30.0
62	227.18	0.8289691209793091	0.3164703845977783	False	1	0.5	30.0
62	227.82	0.5902236700057983		False	1	0.5	30.0
62	228.78	0.8720911145210266	0.28186744451522827	False	1	0.5	30.0
65	247.34	0.37607645988464355		False	1	0.5	30.0
65	249.98	0.9127247333526611	0.8418661952018738	True	1	0.5	30.0
65	257.46	0.6911134123802185		False	1	0.5	30.0
65	259.86	0.6075068116188049		False	1	0.5	30.0
65	261.7	0.715837836265564		False	1	0.5	30.0
65	263.3	0.845637321472168	0.3843938708305359	False	1	0.5	30.0
65	265.78	0.6993739604949951		False	1	0.5	30.0
65	268.66	0.7813929319381714		False	1	0.5	30.0
65	270.74	0.8740041851997375	0.7520350217819214	False	1	0.5	30.0
65	271.22	0.2965993881225586		False	1	0.5	30.0
65	271.62	0.5542740821838379		False	1	0.5	30.0
65	272.5	0.8331125974655151	0.681453287601471	False	1	0.5	30.0
65	273.7	0.6881725192070007		False	1	0.5	30.0
65	274.18	0.7998851537704468	0.27572911977767944	False	1	0.5	30.0
65	276.9	0.7206826210021973		False	1	0.5	30.0
65	277.38	0.6358686685562134		False	1	0.5	30.0
65	278.5	0.6554256677627563		False	1	0.5	30.0
65	282.61	0.7994154691696167		False	1	0.5	30.0
65	288.21	0.9066329598426819	0.5772168636322021	False	1	0.5	30.0
65	289.49	0.6001803874969482		False	1	0.5	30.0
65	290.77	0.8327150344848633	0.5764070749282837	False	1	0.5	30.0
65	291.89	0.5345106720924377		False	1	0.5	30.0
65	295.09	0.48884260654449463		False	1	0.5	30.0
65	296.13	0.9473206996917725	0.6578370928764343	True	1	0.5	30.0
65	297.57	0.747961699962616		False	1	0.5	30.0
65	303.57	0.9053881764411926		False	1	0.5	30.0
65	306.49	0.9093358516693115	0.5209647417068481	False	1	0.5	30.0
65	309.85	0.8702576756477356		False	1	0.5	30.0
65	312.89	0.8250176906585693		False	1	0.5	30.0
65	318.25	0.5497452616691589		False	1	0.5	30.0
65	323.13	0.7986298203468323	0.24888455867767334	False	1	0.5	30.0
67	340.01	1.126479148864746	0.8321377635002136	True	1	0.5	30.0
67	340.96	0.29434138536453247		False	1	0.5	30.0
67	341.51	0.470947802066803		False	1	0.5	30.0
67	342.95	0.5117824077606201	0.304743230342865	False	1	0.5	30.0
67	344.95	0.4244801998138428		False	1	0.5	30.0
67	350.63	0.5980938673019409		False	1	0.5	30.0
67	355.91	0.6053093671798706	0.18082916736602783	False	1	0.5	30.0
69	374.57	0.49194788932800293		False	1	0.5	30.0
69	375.85	0.7704499363899231		False	1	0.5	30.0
69	376.97	0.8792654275894165	0.3873175382614136	False	1	0.5	30.0
70	400.47	0.7545943260192871		False	1	0.5	30.0
70	402.63	0.9230616092681885	0.9539912939071655	True	1	0.5	30.0
70	403.95	0.13753759860992432		False	1	0.5	30.0
70	404.63	0.2818002700805664		False	1	0.5	30.0
70	411.11	0.7817555069923401	0.6442179083824158	False	1	0.5	30.0
71	419.03	0.4777374267578125		False	1	0.5	30.0
71	421.67	0.7238107919692993	0.3747502565383911	False	1	0.5	30.0
71	422.59	0.595133900642395		False	1	0.5	30.0
72	428.61	0.8084432482719421		False	1	0.5	30.0
72	430.37	0.8360277414321899		False	1	0.5	30.0
72	432.29	0.8505972027778625	0.19042736291885376	False	1	0.5	30.0
72	433.81	0.8284959197044373		False	1	0.5	30.0
72	441.169	0.7921188473701477		False	1	0.5	30.0
72	442.29	0.7023237943649292		False	1	0.5	30.0
72	449.25	0.8129645586013794		False	1	0.5	30.0
72	449.81	0.8216986656188965	0.21746456623077393	False	1	0.5	30.0
72	453.61	0.798308789730072		False	1	0.5	30.0
72	455.85	0.7236089706420898		False	1	0.5	30.0
72	463.13	0.9545365571975708	0.40670275688171387	False	1	0.5	30.0
72	465.29	0.8834725022315979		False	1	0.5	30.0
72	472.09	0.7787613868713379		False	1	0.5	30.0
72	472.89	0.860336184501648	0.5326871871948242	True	1	0.5	30.0
72	488.12	0.47942060232162476		False	1	0.5	30.0
72	492.2	0.4092237949371338		False	1	0.5	30.0
72	498.76	0.8965663313865662		False	1	0.5	30.0
72	509.04	0.9566006660461426	0.5473768711090088	True	1	0.5	30.0
73	512.8	0.9134437441825867	0.4168279767036438	False	1	0.5	30.0
73	513.4	0.5885578393936157		False	1	0.5	30.0
73	513.76	0.49661576747894287		False	1	0.5	30.0
73	521.36	0.843636155128479	0.658211886882782	True	1	0.5	30.0
73	527.6	0.657174825668335		False	1	0.5	30.0
73	530.24	0.5527037978172302		False	1	0.5	30.0
73	536.17	0.5324446558952332		False	1	0.5	30.0
73	541.37	0.7158529758453369		False	1	0.5	30.0
73	552.17	0.7295199632644653		False	1	0.5	30.0
73	556.25	0.7454618215560913	0.5500727295875549	True	1	0.5	30.0
73	559.45	0.40840625762939453		False	1	0.5	30.0
73	561.61	0.6086424589157104		False	1	0.5	30.0
73	563.53	0.798602819442749		False	1	0.5	30.0
73	569.05	0.9054780006408691	0.4970717430114746	False	1	0.5	30.0
74	584.77	0.9479235410690308	0.2875947952270508	False	1	0.5	30.0
74	587.36	0.66032874584198		False	1	0.5	30.0
74	593.59	0.7762047052383423	0.3242621421813965	False	1	0.5	30.0
74	598.23	0.5942200422286987		False	1	0.5	30.0
74	602.87	0.5678185224533081		False	1	0.5	30.0
74	604.63	0.6089730262756348		False	1	0.5	30.0
74	610.79	0.742426872253418		False	1	0.5	30.0
74	613.67	0.7757038474082947	0.6807870268821716	False	1	0.5	30.0
74	620.38	0.3028021454811096		False	1	0.5	30.0
74	637.26	0.8390819430351257	0.9420517683029175	True	1	0.5	30.0
74	638.7	0.8188774585723877		False	1	0.5	30.0
74	640.98	0.7325544357299805		False	1	0.5	30.0
74	643.14	0.43330997228622437		False	1	0.5	30.0
74	644.34	0.905784547328949	0.5635732412338257	False	1	0.5	30.0
74	647.22	0.8810657858848572		False	1	0.5	30.0
74	648.46	0.8146858811378479		False	1	0.5	30.0
75	665.14	0.6924052238464355	0.16263270378112793	False	1	0.5	30.0
75	665.66	0.5297725200653076		False	1	0.5	30.0
