scene_id	start	end	character	degree	betweenness	eigenvector
16	0.32	9.52	Chandler	0.32608695652173914	0.0	0.5691090574838914
16	0.32	9.52	Max	0.34782608695652173	0.0	0.5934894787438053
16	0.32	9.52	Phoebe	0.32608695652173914	0.0	0.5691090574838914
17	17.36	77.77	David	0.4119718309859155	0.0	0.6821323364752373
17	17.36	77.77	Max	0.1267605633802817	0.0	0.2228146596450196
17	17.36	77.77	Phoebe	0.4612676056338028	1.0	0.6964546668535633
18	85.93	90.87	David	0.5	0.0	0.7071067811865475
18	85.93	90.87	Phoebe	0.5	0.0	0.7071067811865475
19	100.23	150.53	Chandler	0.36029346886194785	0.0	0.6229291546418215
19	100.23	150.53	Janice	0.4117652249104417	1.0	0.658077081262021
19	100.23	150.53	Monica	0.22794130622761047	0.0	0.4229584180683546
20	150.61	167.15	Joey	0.3636376032945155	0.0	0.6499074807259606
20	150.61	167.15	Monica	0.1647735020590722	0.0	0.3044903558672793
20	150.61	167.15	Sandy	0.47158889464641235	1.0	0.6963518433092949
21	170.43	212.49	Monica	0.5	0.0	0.7071067811865476
21	170.43	212.49	Ross	0.5	0.0	0.7071067811865476
22	219.27	285.32	Monica	0.21686642474012172	0.0	0.41592325902421107
22	219.27	285.32	Phoebe	0.31325632165628114	0.0	0.5898423919426737
22	219.27	285.32	Rachel	0.46987725360359706	1.0	0.692166017130301
23	287.0	322.13	Monica	0.3556693697538768	0.0	0.6516516337084622
23	287.0	322.13	Phoebe	0.15206257306685966	0.0	0.2812175958788926
23	287.0	322.13	Rachel	0.49226805717926353	1.0	0.7044620728280466
24	326.45	340.35	Joey	0.5	0.0	0.7071067811865476
24	326.45	340.35	Sandy	0.5	0.0	0.7071067811865476
25	343.95	387.21	Chandler	0.28735663891973157	0.5	0.6184945190166391
25	343.95	387.21	Janice	0.31609092351087237	0.6666666666666666	0.6406616045111125
25	343.95	387.21	Joey	0.10057516844711416	0.0	0.1610868631269108
25	343.95	387.21	Rachel	0.12068882283570459	0.0	0.2857189771692642
25	343.95	387.21	Ross	0.17528844628657733	0.5	0.31532987023893627
26	390.09	394.65	Monica	0.0	0.0	0.0
27	395.05	411.43	Fun Bobby	0.5	0.0	0.7071067811865475
27	395.05	411.43	Joey	0.5	0.0	0.7071067811865475
29	416.79	482.36	Chandler	0.26652111626235025	0.0	0.6324407461866126
29	416.79	482.36	Fun Bobby	0.17180586465926934	0.0	0.2211988167611107
29	416.79	482.36	Janice	0.3237879757040076	0.6666666666666666	0.6680979200255027
29	416.79	482.36	Monica	0.2378850433743729	0.6666666666666666	0.32362780363250954
30	485.16	486.28	Chandler	0.0	0.0	0.0
31	491.06	514.9	David	0.31496022072301905	0.0	0.5557432235863417
31	491.06	514.9	Max	0.3582686093315947	0.0	0.6044770088937045
31	491.06	514.9	Phoebe	0.3267711699453862	0.0	0.570751272584461
32	520.5	610.77	David	0.43541749999999996	0.0	0.6979025084948632
32	520.5	610.77	Dick Clark	0.075	0.0	0.12245072749863602
32	520.5	610.77	Phoebe	0.48958250000000003	1.0	0.7056471554336715
33	610.77	663.79	All	0.0996874778038213	0.0	0.21201774807060988
33	610.77	663.79	Chandler	0.2476626255602783	0.6	0.622268252075748
33	610.77	663.79	Dick Clark	0.09968934695571231	0.0	0.24341923993360357
33	610.77	663.79	Joey	0.2009356974366451	0.5333333333333333	0.5720530965503907
33	610.77	663.79	Monica	0.07476607564083873	0.0	0.12833786986607792
33	610.77	663.79	Phoebe	0.11526498966359004	0.3333333333333333	0.23027699293721762
33	610.77	663.79	Rachel	0.16199378693911426	0.3333333333333333	0.3344172887291374
34	666.35	710.86	Chandler	0.17463885443939184	0.30000000000000004	0.4441833050143526
34	666.35	710.86	Joey	0.17942733452758258	0.2	0.43024106783984284
34	666.35	710.86	Monica	0.1459338110330256	0.1	0.3469965051321653
34	666.35	710.86	Phoebe	0.17464172523081165	0.2	0.4123555553026739
34	666.35	710.86	Rachel	0.1459338110330256	0.1	0.34347149130464744
34	666.35	710.86	Ross	0.1794244637361628	0.30000000000000004	0.45735923647457516
36	710.94	730.66	Rachel	0.5	0.0	0.7071067811865476
36	710.94	730.66	Ross	0.5	0.0	0.7071067811865476
