scene_id	start	end	character	degree	betweenness	eigenvector
16	0.88	6.48	Chandler	0.5	0.0	0.7071067811865475
16	0.88	6.48	Ross	0.5	0.0	0.7071067811865475
17	17.68	59.18	Rachel	0.5	0.0	0.7071067811865475
17	17.68	59.18	Ross	0.5	0.0	0.7071067811865475
18	59.18	83.98	Rachel	0.5	0.0	0.7071067811865475
18	59.18	83.98	Ross	0.5	0.0	0.7071067811865475
19	86.7	130.17	Monica	0.5	0.0	0.7071067811865475
19	86.7	130.17	Phoebe	0.5	0.0	0.7071067811865475
20	134.65	138.09	Ross	0.0	0.0	0.0
21	144.38	277.21	Rachel	0.5	0.0	0.7071067811865476
21	144.38	277.21	Ross	0.5	0.0	0.7071067811865476
22	279.45	338.38	Chandler	0.04477611940298507	0.0	0.06913874339342922
22	279.45	338.38	Monica	0.4614432835820895	0.0	0.7041894478324948
22	279.45	338.38	Phoebe	0.4937805970149254	1.0	0.7066378533048903
23	342.7	361.18	Chandler	0.5	0.0	0.7071067811865475
23	342.7	361.18	Joey	0.5	0.0	0.7071067811865475
24	368.06	388.94	Chandler	0.5	0.0	0.7071067811865475
24	368.06	388.94	Joey	0.5	0.0	0.7071067811865475
25	401.88	403.24	Chandler	0.0	0.0	0.0
26	406.12	490.92	Monica	0.5	0.0	0.7071067811865475
26	406.12	490.92	Pete	0.5	0.0	0.7071067811865475
27	498.12	517.14	Monica	0.5	0.0	0.7071067811865475
27	498.12	517.14	Pete	0.5	0.0	0.7071067811865475
28	517.46	521.7	Rachel	0.5	0.0	0.7071067811865475
28	517.46	521.7	Ross	0.5	0.0	0.7071067811865475
29	523.86	552.22	Chandler	0.3184722625617194	0.0	0.6049861946283625
29	523.86	552.22	Rachel	0.19745249705733983	0.0	0.3796749991030387
29	523.86	552.22	Ross	0.48407524038094074	1.0	0.699884704337222
30	556.54	580.93	Rachel	0.5	0.0	0.7071067811865476
30	556.54	580.93	Ross	0.5	0.0	0.7071067811865476
31	591.58	604.38	Rachel	0.5	0.0	0.7071067811865475
31	591.58	604.38	Ross	0.5	0.0	0.7071067811865475
32	612.79	613.27	Rachel	0.0	0.0	0.0
33	626.469	627.43	Chandler	0.0	0.0	0.0
35	638.39	663.22	Chandler	0.5	0.0	0.7071067811865476
35	638.39	663.22	Joey	0.5	0.0	0.7071067811865476
36	663.22	672.65	Chandler	0.5	0.0	0.7071067811865475
36	663.22	672.65	Joey	0.5	0.0	0.7071067811865475
